DOI,Title,Authors,Abstract,Venue (Year),Article URL,PDF URL
10.1016/j.uclim.2018.12.014,(Re)presenting urban heat islands in Australian cities: A study of media reporting and implications for urban heat and climate change debates,"Alexander Iping, Juliette Kidston-Lattari, Alice Simpson-Young, Elizabeth Duncan, Phil McManus","The effects of climate change and urban heat islands are predicted to grow and compound in the future. In the context of urban heat becoming an increasing problem, this article explores the extent to which ...",Urban Climate (2019),https://www.mendeley.com/catalogue/api/pdf/30fd819a-f1b4-3a6c-98e5-93222629982b/?doi=10.1016%2Fj.uclim.2018.12.014,https://www.mendeley.com/catalogue/representing-urban-heat-islands-australian-cities-study-media-reporting-implications-urban-heat-clim
10.1016/j.scs.2018.06.031,"100% clean and renewable Wind, Water, and Sunlight (WWS) all-sector energy roadmaps for 53 towns and cities in North America","Mark Z. Jacobson, Mary A. Cameron, Eleanor M. Hennessy, Ivalin Petkov, Clayton B. Meyer, Tanvi K. Gambhir, Amanda T. Maki, Katherine Pfleeger, Hailey Clonts, Avery L. McEvoy, Matthew L. Miccioli, Anna Katharina von Krauland, Rebecca W. Fang, Mark A. Delucchi",Towns and cities worldwide emit significant pollution and are also increasingly affected by pollution's health and climate impacts. Local decision makers can alleviate these impacts by transitioning the energy they control to 100% clean ...,Sustainable Cities and Society (2018),https://www.mendeley.com/catalogue/api/pdf/f15f469e-e0b1-3c80-9637-c578eda4dfd1/?doi=10.1016%2Fj.scs.2018.06.031,https://www.mendeley.com/catalogue/100-clean-renewable-wind-water-sunlight-wws-allsector-energy-roadmaps-53-towns-cities-north-america
10.1016/j.scitotenv.2018.08.096,"1st scientific symposium on Health and Climate Change, Italian National Institute of Health, 3–5th December 2018, Rome, Italy",Walter Ricciardi,,Science of The Total Environment (2018),https://www.mendeley.com/catalogue/api/pdf/02546c2c-077c-325d-8d47-18ceb2cc6f9a/?doi=10.1016%2Fj.scitotenv.2018.08.096,https://www.mendeley.com/catalogue/1st-scientific-symposium-health-climate-change-italian-national-institute-health-35th-december-2018
10.1016/j.chemosphere.2018.12.075,2014–2016 seasonal rainfall effects on metals in tea (Camelia sinensis (L.) Kuntze),"Hui Huang, Nicole Kfoury, Colin M. Orians, Timothy Griffin, Selena Ahmed, Sean B. Cash, John Richard Stepp, Dayuan Xue, Chunlin Long, Albert Robbat","Plant-climate interactions affect the edible crop composition, impacting flavor, nutrition, and overall consumer liking. In this study, principal components analysis was used to assess the macro- and micronutrient metal concentrations in pre-monsoon (spring ...",Chemosphere (2019),https://www.mendeley.com/catalogue/api/pdf/561e9e1d-3404-3740-861e-1398e91c8696/?doi=10.1016%2Fj.chemosphere.2018.12.075,https://www.mendeley.com/catalogue/20142016-seasonal-rainfall-effects-metals-tea-camelia-sinensis-l-kuntze
10.1016/j.joule.2019.02.001,21st Century Climate Change Impacts on Key Properties of a Large-Scale Renewable-Based Electricity System,"Smail Kozarcanin, Hailiang Liu, Gorm Bruun Andresen","Falling prices and significant technology developments currently drive an increased weather-dependent electricity production from renewables. In light of the changing climate, it is relevant to investigate to what extent climate change directly impacts future ...",Joule (2019),https://www.mendeley.com/catalogue/api/pdf/a24885c4-210d-34bc-9194-215d2074b744/?doi=10.1016%2Fj.joule.2019.02.001,https://www.mendeley.com/catalogue/21st-century-climate-change-impacts-key-properties-largescale-renewablebased-electricity-system
10.1016/j.marpol.2019.02.016,21st Century reform in Australian coastal policy and legislation,"Nick Harvey, Beverley Clarke","Recent coastal legislative and policy reform in Australia reflects the changing focus of coastal management studies in the international scientific literature indicating a move towards systems perspectives, cross-boundary management strategies and an integration of ...",Marine Policy (2019),https://www.mendeley.com/catalogue/api/pdf/8c83dc95-922a-334f-a51f-508768862c04/?doi=10.1016%2Fj.marpol.2019.02.016,https://www.mendeley.com/catalogue/21st-century-reform-australian-coastal-policy-legislation
10.1016/j.marchem.2017.06.009,234 Th as a tracer of particulate export and remineralization in the southeastern tropical Pacific,"Erin E. Black, Ken O. Buesseler, Steven M. Pike, Phoebe J. Lam",Oxygen minimum zones (OMZs) are thought to be regions of decreased carbon attenuation in the upper ocean with a biological pump that could deliver a greater percentage of exported carbon to the mesopelagic relative to ...,Marine Chemistry (2018),https://www.mendeley.com/catalogue/api/pdf/a872ef36-426b-32c1-95f6-29844a16d212/?doi=10.1016%2Fj.marchem.2017.06.009,https://www.mendeley.com/catalogue/234-th-tracer-particulate-export-remineralization-southeastern-tropical-pacific
10.1016/j.epsl.2018.05.015,"25 years of elevation changes of the Greenland Ice Sheet from ERS, Envisat, and CryoSat-2 radar altimetry","Louise Sandberg Sørensen, Sebastian B. Simonsen, René Forsberg, Kirill Khvorostovsky, Rakia Meister, Marcus E. Engdahl","The shape of the large ice sheets responds rapidly to climate change, making the elevation changes of these ice-covered regions an essential climate variable. Consistent, long time series of these elevation changes are of ...",Earth and Planetary Science Letters (2018),https://www.mendeley.com/catalogue/api/pdf/f2e12a1c-ff3f-3f4e-b5c7-e0c8efb3f147/?doi=10.1016%2Fj.epsl.2018.05.015,https://www.mendeley.com/catalogue/25-years-elevation-changes-greenland-ice-sheet-ers-envisat-cryosat2-radar-altimetry
10.1016/j.apgeog.2018.07.001,"3-D reconstruction of an abandoned montane reservoir using UAV photogrammetry, aerial LiDAR and field survey","Jakub Langhammer, Bohumír Janský, Jan Kocum, Robert Minařík",... levels. The reliability of the UAV-based model was tested by comparing the results with those of elevation models derived from geodetic field survey using a total station and from conventional data sources based on ...,Applied Geography (2018),https://www.mendeley.com/catalogue/api/pdf/400cb047-7133-391f-b7ea-5deac33d4a76/?doi=10.1016%2Fj.apgeog.2018.07.001,https://www.mendeley.com/catalogue/3d-reconstruction-abandoned-montane-reservoir-using-uav-photogrammetry-aerial-lidar-field-survey
10.1016/j.ajog.2017.12.117,98: Global climate change: Decreasing hot air emissions at the SGS annual clinical meeting,"J. Schmitt, J. Gebhart, J.A. Occhino",,American Journal of Obstetrics and Gynecology (2018),https://www.mendeley.com/catalogue/api/pdf/5152cd28-4732-37d2-9e35-ce96dadfb164/?doi=10.1016%2Fj.ajog.2017.12.117,https://www.mendeley.com/catalogue/98-global-climate-change-decreasing-hot-air-emissions-sgs-annual-clinical-meeting
